NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
Exonid 30 mg/5 ml,Techno Drugs Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Fexofenadine Hydrochloride,30 mg/5 ml,,,0,
Exonid 180 mg,Techno Drugs Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Fexofenadine Hydrochloride,180 mg,,,0,
Exonid 120 mg,Techno Drugs Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Fexofenadine Hydrochloride,120 mg,,,0,
Exome 20 mg,Chemist Laboratories  Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Esomeprazole,20 mg,,,0,
Abaclor 125 mg/1.25 ml,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,125.85,,125.85,,,,0,,,,,,,Cefaclor Monohydrate,125 mg/1.25 ml,,,0,
Abaclor 125 mg/5 ml,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,201.35,,201.35,,,,0,,,,,,,Cefaclor Monohydrate,125 mg/5 ml,,,0,
Eyevi,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,,,0,
Eyetrop 1%,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Tropicamide,1%,,,0,
Eyetin 1.50%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,300.00,,300.00,,,,0,,,,,,,Bepotastine Besilate,1.50%,,,0,
Eyetear 5% v/v,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Povidone Iodine,5% v/v,,,0,
Eyerin 5% v/v,Opso Saline Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,90.00,,90.00,,,,0,,,,,,,Povidone Iodine,5% v/v,,,0,
Eyephen Plus 0.1%+0.5%,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Dexamethasone + Chloramphenicol,0.1%+0.5%,,,0,
