NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
Cleansol 0.5%+70%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,,,0,
Cleanser 10% w/v,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,85.00,,85.00,,,,0,,,,,,,Povidone Iodine,10% w/v,,,0,
CleanMax 75%+0.125%+1.45%,Cosmic Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Isopropyl Alcohol + Hydrogen Peroxide + Glycerol,75%+0.125%+1.45%,,,0,
Cleanex 66%+3.5%,Al-Madina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Ethanol + Isopropyl alcohol,66%+3.5%,,,0,
Clean gel 66%+3.5%,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Ethanol + Isopropyl alcohol,66%+3.5%,,,0,
Claz 80 mg,Astra Biopharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Gliclazide,80 mg,,,0,
Claxo 6000 Anti-Xa IU/0.6 ml,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,575.00,,575.00,,,,0,,,,,,,Enoxaparin Sodium,6000 Anti-Xa IU/0.6 ml,,,0,
Claxo 4000 Anti-Xa IU/0.4 ml,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,351.00,,351.00,,,,0,,,,,,,Enoxaparin Sodium,4000 Anti-Xa IU/0.4 ml,,,0,
Clavuxim 250 mg+62.5 mg,Organic Health Care Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Clavuxim 500 mg+125 mg,Organic Health Care Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Clavuxet 250 mg+62.5 mg,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.07,,30.07,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Clavutil 500 mg+125 mg,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Clavutil 250 mg+62.5 mg,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Clavutil (125 mg+31.25 mg)/5 ml,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,252.75,,252.75,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,,,0,
Clavusef (125 mg+31.25 mg)/5 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,252.75,,252.75,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,,,0,
Clavusef 500 mg+125 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,55.00,,55.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Clavusef 250 mg+62.5 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,35.00,,35.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Clavusef 125 mg+31.25 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,18.05,,18.05,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,125 mg+31.25 mg,,,0,
Clavurox 500 mg+125 mg,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Clavurox 250 mg+62.5 mg,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Clavurox (125 mg+31.25 mg)/5 ml,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,252.00,,252.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,,,0,
Clavuran 200 mg+125 mg,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,35.15,,35.15,,,,0,,,,,,,Cefpodoxime Proxetil + Clavulanic Acid,200 mg+125 mg,,,0,
Clavuran 100 mg+62.5 mg,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,22.10,,22.10,,,,0,,,,,,,Cefpodoxime Proxetil + Clavulanic Acid,100 mg+62.5 mg,,,0,
Clavoxil 500 mg+125 mg,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Amoxicillin + Clavulanic Acid,500 mg+125 mg,,,0,
Clavoxil 250 mg+125 mg,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Amoxicillin + Clavulanic Acid,250 mg+125 mg,,,0,
Claviator-CV 250 mg+62.5 mg,Al-Madina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Claviator-CV 500 mg+125 mg,Al-Madina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Claviator-CV (125 mg+31.25 mg)/5 ml,Al-Madina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,250.00,,250.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,,,0,
Acipam 10 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Escitalopram Oxalate,10 mg,,,0,
Clincin 300 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.05,,15.05,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clincin 150 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.03,,8.03,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clinail 5% w/v,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,500.00,,500.00,,,,0,,,,,,,Amorolfine Hydrochloride (Nail Lacquer),5% w/v,,,0,
Clinacyn T 1.2%+0.025%,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Clinacyn 300 mg,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clinacyn 150 mg,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Climycin 300 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.10,,15.10,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Climed 150 mg,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Climed 300 mg,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clexane 2000 Anti-Xa IU/0.2 ml,Synovia pharma plc,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,270.81,,270.81,,,,0,,,,,,,Enoxaparin Sodium,2000 Anti-Xa IU/0.2 ml,,,0,
Clexane 8000 Anti-Xa IU/0.8 ml,Synovia pharma plc,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,802.41,,802.41,,,,0,,,,,,,Enoxaparin Sodium,8000 Anti-Xa IU/0.8 ml,,,0,
Clexane 6000 Anti-Xa IU/0.6 ml,Synovia pharma plc,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,651.95,,651.95,,,,0,,,,,,,Enoxaparin Sodium,6000 Anti-Xa IU/0.6 ml,,,0,
Clexane 4000 Anti-Xa IU/0.4 ml,Synovia pharma plc,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,461.38,,461.38,,,,0,,,,,,,Enoxaparin Sodium,4000 Anti-Xa IU/0.4 ml,,,0,
Cleven 2000 Anti-Xa IU/0.2 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,250.00,,250.00,,,,0,,,,,,,Enoxaparin Sodium,2000 Anti-Xa IU/0.2 ml,,,0,
Cleven 4000 Anti-Xa IU/0.4 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,450.00,,450.00,,,,0,,,,,,,Enoxaparin Sodium,4000 Anti-Xa IU/0.4 ml,,,0,
Cleven 6000 Anti-Xa IU/0.6 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,576.00,,576.00,,,,0,,,,,,,Enoxaparin Sodium,6000 Anti-Xa IU/0.6 ml,,,0,
Cleven 8000 Anti-Xa IU/0.8 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,650.00,,650.00,,,,0,,,,,,,Enoxaparin Sodium,8000 Anti-Xa IU/0.8 ml,,,0,
Clepam 2 mg,Euro Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,9.50,,9.50,,,,0,,,,,,,Clonazepam,2 mg,,,0,
Clepam 0.5 mg,Euro Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.50,,5.50,,,,0,,,,,,,Clonazepam,0.5 mg,,,0,
Clepam 1 mg,Euro Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clonazepam,1 mg,,,0,
Cleomycin 300 mg,Rangs Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Cleodin 300 mg,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Cleocin 2%,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,73.00,,73.00,,,,0,,,,,,,Clindamycin (Vaginal Cream),2%,,,0,
Cleocin 150 mg,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Cleocin 300 mg,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Cleo 2 mg+0.035 mg,Nuvista Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,199.50,,199.50,,,,0,,,,,,,Cyproterone Acetate + Ethinyl Estradiol,2 mg+0.035 mg,,,0,
Clenol 0.1%+0.5%,Mystic Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Chlorhexidine Hydrochloride + Cetrimide,0.1%+0.5%,,,0,
Cleanstar Plus,Sharif Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,85.00,,85.00,,,,0,,,,,,,Eucalyptol + Menthol + Methyl Salicylate + Thymol + Sodium Fluoride,,,,0,
Cleanstar Gold,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Menthol + Thymol + Eucalyptol  + Methyl Salicylate,,,,0,
Cleanstar Cool Mint,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Menthol + Thymol + Eucalyptol  + Methyl Salicylate,,,,0,
Acipam 5 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.50,,5.50,,,,0,,,,,,,Escitalopram Oxalate,5 mg,,,0,
Clinex 150 mg,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clinex 300 mg,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clinex 1%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,125.00,,125.00,,,,0,,,,,,,Clindamycin (Lotion),1%,,,0,
Clindax-B 1%+5%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Clindamycin + Benzoyl peroxide,1%+5%,,,0,
Clindax Plus 1.2%+0.025%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,120.45,,120.45,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Clindax 150 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.03,,8.03,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clindax 600 mg/4 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.26,,70.26,,,,0,,,,,,,Clindamycin,600 mg/4 ml,,,0,
Clindax 75 mg/5 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,250.94,,250.94,,,,0,,,,,,,Clindamycin,75 mg/5 ml,,,0,
Clindax 300 mg/2 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.15,,40.15,,,,0,,,,,,,Clindamycin,300 mg/2 ml,,,0,
Clindax 1%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,125.85,,125.85,,,,0,,,,,,,Clindamycin (Lotion),1%,,,0,
Clindax 2%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.26,,70.26,,,,0,,,,,,,Clindamycin (Vaginal Cream),2%,,,0,
Clindax 300 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.06,,15.06,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindaver 300 mg,Veritas Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.05,,15.05,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindamet 300 mg,Somatec Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindamet 150 mg,Somatec Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clindacin Plus 1.2%+0.025%,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Clindacin 1%,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,125.00,,125.00,,,,0,,,,,,,Clindamycin (Lotion),1%,,,0,
Clindacin 2%,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Clindamycin (Vaginal Cream),2%,,,0,
Clindacin 75 mg/5 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,280.00,,280.00,,,,0,,,,,,,Clindamycin,75 mg/5 ml,,,0,
Clindacin 300 mg/2 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Clindamycin,300 mg/2 ml,,,0,
Clindacin 300 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindacin 600 mg/4 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Clindamycin,600 mg/4 ml,,,0,
Clindacin 150 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clindacap 150 mg,Astra Biopharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clindacap 300 mg,Astra Biopharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindaben 150 mg,Benham Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clindaben 300 mg,Benham Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindabac 300 mg,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Clindabac 150 mg,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clindamycin,150 mg,,,0,
Clinda-TIMS 300 mg,Doctor TIMS Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Clindamycin,300 mg,,,0,
Acin 75 mg/5 ml,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.30,,45.30,,,,0,,,,,,,Ranitidine Hydrochloride,75 mg/5 ml,,,0,
Clobex 125 mg/5 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,43.85,,43.85,,,,0,,,,,,,Cloxacillin Sodium,125 mg/5 ml,,,0,
Clobex 500 mg,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.96,,5.96,,,,0,,,,,,,Cloxacillin Sodium,500 mg,,,0,
Clobesol SA 0.05%+3%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Clobetasol Propionate + Salicylic Acid,0.05%+3%,,,0,
Clobesol 0.05%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,68.00,,68.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobesol 0.05%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,58.00,,58.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobeon (0.5 mg+5 mg+1 Lac IU)/gm,Jenphar Bangladesh Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Clobetasol Propionate + Neomycin Sulphate + Nystatin,(0.5 mg+5 mg+1 Lac IU)/gm,,,0,
Clobenate 0.05%,Jenphar Bangladesh Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobenate 0.05%,Jenphar Bangladesh Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobederm 0.05%,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobederm 0.05%,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Clobetasol Propionate (Topical Preparation),0.05%,,,0,
Clobecort 0.05%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Clobetasone Butyrate,0.05%,,,0,
Clobecort 0.05%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Clobetasone Butyrate,0.05%,,,0,
Clobac 125 mg/5 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,180.68,,180.68,,,,0,,,,,,,Cefaclor Monohydrate,125 mg/5 ml,,,0,
Clobac 125 mg/1.25 ml,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,125.85,,125.85,,,,0,,,,,,,Cefaclor Monohydrate,125 mg/1.25 ml,,,0,
Clob 10 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.51,,3.51,,,,0,,,,,,,Clobazam,10 mg,,,0,
Clizin 50 mg,Peoples Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Meclizine Hydrochloride,50 mg,,,0,
Clix 125 mg/5 ml,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,395.00,,395.00,,,,0,,,,,,,Clarithromycin,125 mg/5 ml,,,0,
Clix 500 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Clarithromycin,500 mg,,,0,
Clit 250 mg,Hudson Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.20,,1.20,,,,0,,,,,,,Chloroquine Phosphate,250 mg,,,0,
Clit 80 mg/5 ml,Hudson Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Chloroquine Phosphate,80 mg/5 ml,,,0,
Clioquin 0.025%+3%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,180.00,,180.00,,,,0,,,,,,,Fluocinolone Acetonide + Clioquinol,0.025%+3%,,,0,
Cliomet 1%+0.02%,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Clioquinol + Flumetasone Pivalate,1%+0.02%,,,0,
Clintrix 1.2%+0.025%,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Clinosol Vit 5%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,475.00,,475.00,,,,0,,,,,,,Amino Acid + D-Sorbitol + Electrolytes,5%,,,0,
Clinosol IV 5%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,352.38,,352.38,,,,0,,,,,,,Amino Acid + D-Sorbitol + Electrolytes,5%,,,0,
Clinosol Gold 7%+10%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,401.52,,401.52,,,,0,,,,,,,Amino Acid + Glucose + Electrolytes,7%+10%,,,0,
Clinorel 200 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,9.54,,9.54,,,,0,,,,,,,Sulindac,200 mg,,,0,
Clinorel 100 mg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Sulindac,100 mg,,,0,
Clinface 1.2%+0.025%,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,151.02,,151.02,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Clinex Plus 1.2%+0.025%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Clindamycin + Tretinoin,1.2%+0.025%,,,0,
Acin 150 mg,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.02,,2.02,,,,0,,,,,,,Ranitidine Hydrochloride,150 mg,,,0,
Clon 2 mg,Globe Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Clonazepam,2 mg,,,0,
Clon 0.5 mg,Globe Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.50,,4.50,,,,0,,,,,,,Clonazepam,0.5 mg,,,0,
Cloma 2 mg,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Clonazepam,2 mg,,,0,
Cloma 1 mg,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Clonazepam,1 mg,,,0,
